state,n_killed,n_injured
Alabama,488,761
Maine,18,37
Maryland,429,748
Massachusetts,112,468
Michigan,385,700
Minnesota,108,217
Mississippi,290,497
Wyoming,18,12
Montana,42,22
Nebraska,57,162
Nevada,205,286
New Hampshire,20,40
New Jersey,297,654
New Mexico,122,133
New York,416,1275
North Carolina,576,1205
North Dakota,18,33
Ohio,628,1455
Wisconsin,222,450
West Virginia,99,175
Washington,183,301
Virginia,398,1051
Vermont,13,10
Utah,70,86
Louisiana,527,1103
Texas,1313,1614
South Dakota,23,32
South Carolina,387,726
Rhode Island,14,84
Pennsylvania,556,1220
Oregon,95,168
Oklahoma,243,414
Tennessee,470,1163
Kentucky,288,499
Missouri,515,842
District of Columbia,106,339
Connecticut,68,358
Florida,1001,1846
Colorado,207,299
Georgia,548,857
California,1265,1896
Hawaii,34,17
Idaho,34,44
Arkansas,190,351
Illinois,946,4137
Arizona,277,294
Delaware,42,187
Indiana,420,765
Kansas,125,250
Alaska,88,103
Iowa,70,194
